nombre,link,img_url,categoria
Louis Vuitton Multi Pochette,https://toucheimport.mitiendanube.com/productos/louis-vuitton-multi-pochette/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Neverfull,https://toucheimport.mitiendanube.com/productos/louis-vuitton-neverfull1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Neverfull con cierre,https://toucheimport.mitiendanube.com/productos/louis-vuitton-neverfull-con-cierre/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Bolso Alma,https://toucheimport.mitiendanube.com/productos/louis-vuitton-bolso-alma/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Set Louis Vuitton,https://toucheimport.mitiendanube.com/productos/set-louis-vuitton/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Set x3,https://toucheimport.mitiendanube.com/productos/louis-vuitton-set-x3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Baúl,https://toucheimport.mitiendanube.com/productos/louis-vuitton-baul/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Louis Vuitton Loop,https://toucheimport.mitiendanube.com/productos/louis-vuitton-loop/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Louis Vuitton
Gucci Bee,https://toucheimport.mitiendanube.com/productos/gucci-bee/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Bandolera + Gorra de Regalo,https://toucheimport.mitiendanube.com/productos/gucci-bandolera-gorra-de-regalo/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Bolso Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-bolso-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Ophidia Tote Bag,https://toucheimport.mitiendanube.com/productos/gucci-ophidia-tote-bag/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Emblem Bucket,https://toucheimport.mitiendanube.com/productos/gucci-emblem-bucket/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Mini bolso Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-mini-bolso-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
Gucci Boston Ophidia,https://toucheimport.mitiendanube.com/productos/gucci-boston-ophidia/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Gucci
